satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Kelas 1,11,4,6,10,-,-,1,N/A,05/Apr/2020 03:29:00,3.5189,98.610298
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi TB MDR,Kelas 3,10,1,1,2,-,-,8,N/A,05/Apr/2020 03:29:00,3.5189,98.610298
1275035,RS Tk. II Putri Hijau Medan,"Jl Putri Hijau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Isolasi,4,2,0,2,0,2,2,N/A,17/Jan/2019 05:41:50,3.595758,98.675636
1273011,RS Umum Daerah Dr. Djasamen Saragih,"Jl Sutomo No. 230, Pematangsiantar",SUMATERA UTARA,ICU,Isolasi,5,0,0,0,2,3,5,N/A,03/Apr/2020 06:01:22,2.9586330000000003,99.069626
1271016,RS Umum Daerah Dr. Fl Tobing Sibolga,Jl Dr. F.L. Tobing No. 35 Sibolga,SUMATERA UTARA,ICU,Isolasi,1,0,0,0,1,1,2,N/A,01/Mar/2019 06:34:39,1.700822,98.822945
1201016,RS Umum Daerah Gunungsitoli,Jl dr. Ciptomangunkusumo No 15 Gunungsitoli,SUMATERA UTARA,Isolasi Anak,Rawat Khusus,10,3,4,7,1,2,3,N/A,08/Mar/2019 05:35:45,1.2732,97.622963
1372011,RS Umum Daerah Solok,"  Jl. Simpang Rumbio,Solok",SUMATERA BARAT,Paru,Isolasi,2,0,0,0,1,1,2,N/A,29/Nov/2018 07:49:57,-1.476997,101.04686
1371444,RS Umum Daerah dr. Rasidin Padang," Jl. Air Paku Sei.Sapih Kec.Kuranji,Padang",SUMATERA BARAT,Umum,Isolasi,0,0,0,0,-,-,0,N/A,25/Feb/2019 07:14:27,0.904914,100.380157
1309011,RS Umum Daerah Lubuk Sikaping," Jl. Jen Sudirman No.33,Lubuk Sikaping",SUMATERA BARAT,Luka Bakar,Isolasi,8,0,0,0,-,-,8,N/A,07/Apr/2020 04:04:45,-0.135597,100.168434
1309011,RS Umum Daerah Lubuk Sikaping," Jl. Jen Sudirman No.33,Lubuk Sikaping",SUMATERA BARAT,Isolasi Anak,Isolasi,2,0,0,0,-,-,2,N/A,07/Apr/2020 04:04:23,-0.135597,100.168434
1308016,RS Umum Daerah Lubuk Basung,"        Jl. M.Hatta Padang Baru,Lubuk Basung",SUMATERA BARAT,Isolasi Imunitas menurun,Kelas 1,2,0,0,0,1,1,2,N/A,07/Apr/2020 04:10:01,-0.25455,100.172493
1406016,RS Umum Daerah Bangkinang,"Jl Lingkar Bangkinang-Batu Belah, Kampar, Riau",RIAU,Isolasi Air Borne,Isolasi,3,0,1,1,-,-,2,N/A,07/Apr/2020 13:18:10,0.346164,101.118904
1406016,RS Umum Daerah Bangkinang,"Jl Lingkar Bangkinang-Batu Belah, Kampar, Riau",RIAU,Isolasi TB MDR,Rawat Khusus,3,0,1,1,-,-,2,N/A,31/Mar/2020 12:27:53,0.346164,101.118904
1571067,RS Umum Mayang Medical Centre,"Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi",JAMBI,Isolasi Air Borne,Kelas 1,4,1,0,1,1,2,3,N/A,30/May/2018 07:03:30,-1.630422,103.550972
1673031,RS Umum Daerah Basemah Kota Pagar Alam,   Jl. AIS Nasution No.3,SUMATERA SELATAN,ICU,Isolasi,6,1,2,3,2,1,3,N/A,08/Mar/2019 12:47:07,-4.037669,103.265297
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,NICU,Isolasi,6,4,1,5,0,1,1,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,PICU,Isolasi,3,0,1,1,1,1,2,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,CVCU/ICCU,Isolasi,3,2,0,2,0,1,1,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi Air Borne,Rawat Khusus,0,0,0,0,-,-,0,N/A,23/Aug/2018 09:19:05,-2.972911,104.75193
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi TB MDR,Rawat Khusus,5,0,0,0,-,-,5,N/A,07/Apr/2020 13:18:28,-2.972911,104.75193
